Ba.1.1,557.440795898438
Ba.1.2,738.384643554688
Ba.2.1,1290.97229003906
Ba.2.2,1655.88513183594
Ba.3.1,4503.6826171875
Ba.3.2,6584.6064453125
Ba.4.1,820.373046875
Ba.4.2,1009.49926757813
Ba.5.1,1311.45300292969
Ba.5.2,2142.8876953125
Ba.Water.1,1958.0654296875
Ba.Water.2,1867.0205078125
Bg121.1.1,424.544494628906
Bg121.1.2,181.960205078125
Bg121.2.1,1412.18896484375
Bg121.2.2,4534.47998046875
Bg121.3.1,2571.45947265625
Bg121.3.2,2609.833984375
Bg121.4.1,1338.14794921875
Bg121.4.2,7309.3291015625
Bg121.5.1,1786.90063476563
Bg121.5.2,1963.94750976562
Bg121.Water.1,217.485015869141
Bg121.Water.2,557.047485351563
Bg26.1.1,2346.841796875
Bg26.1.2,1933.84838867187
Bg26.2.1,2134.9248046875
Bg26.2.2,2757.06958007812
Bg26.3.1,654.951049804687
Bg26.3.2,692.621643066406
Bg26.4.1,5879.37841796875
Bg26.4.2,4886.1513671875
Bg26.5.1,1149.87841796875
Bg26.5.2,4415.8037109375
Bg26.Water.1,333.308898925781
Bg26.Water.2,456.547912597656
Bg36.1.1,3043.4306640625
Bg36.1.2,3506.99658203125
Bg36.2.1,3013.1572265625
Bg36.2.2,5463.5517578125
Bg36.3.1,2313.40454101562
Bg36.3.2,1721.12255859375
Bg36.4.1,454.214019775391
Bg36.4.2,3586.99755859375
Bg36.5.1,2016.85717773438
Bg36.5.2,980.16162109375
Bg36.Water.1,1694.21826171875
Bg36.Water.2,1488.18872070313
BgBRE.1.1,1202.24169921875
BgBRE.1.2,190.83757019043
BgBRE.2.1,2818.158203125
BgBRE.2.2,4284.27685546875
BgBRE.3.1,765.4384765625
BgBRE.3.2,1001.09741210938
BgBRE.4.1,309.400817871094
BgBRE.4.2,385.479125976562
BgBRE.5.1,633.334167480469
BgBRE.5.2,632.5283203125
BgBRE.Water.1,257.563049316406
BgBRE.Water.2,316.594207763672
BgBS90.1.1,765.397155761719
BgBS90.1.2,943.896606445312
BgBS90.2.1,615.12548828125
BgBS90.2.2,2216.85791015625
BgBS90.3.1,3691.775390625
BgBS90.3.2,3162.08154296875
BgBS90.4.1,14731.177734375
BgBS90.4.2,23351.5
BgBS90.5.1,4547.921875
BgBS90.5.2,8215.8740234375
BgBS90.Water.1,148.587554931641
BgBS90.Water.2,794.707885742188
BgNMRI.1.1,2162.640625
BgNMRI.1.2,8401.2080078125
BgNMRI.2.1,7203.9970703125
BgNMRI.2.2,6810.2861328125
BgNMRI.3.1,1076.53466796875
BgNMRI.3.2,3503.35498046875
BgNMRI.4.1,26734.23828125
BgNMRI.4.2,47589.296875
BgNMRI.5.1,4714.98291015625
BgNMRI.5.2,4485.794921875
BgNMRI.Water.1,2688.16259765625
BgNMRI.Water.2,4106.7314453125
